PollID,Time,Pollster,Yes,No,DK,lYes-1,lNo-1,lDK-1,lYes-2,lNo-2,lDK-2,lYes-3,lNo-3,lDK-3,lYes-p,lNo-p,lDK-p,IndyrefWeight,PastScotElectWeight,PastBritElectWeight,DataCollect,Franchise
1,42,16,0.49,0.45,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,1
2,48,10,0.46,0.45,0.06,0.49,0.45,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2,2
3,56,14,0.44,0.49,0.07,0.46,0.45,0.06,0.49,0.45,0.06,NA,NA,NA,NA,NA,NA,1,1,0,2,2
4,84,16,0.48,0.45,0.06,0.44,0.49,0.07,0.46,0.45,0.06,0.49,0.45,0.06,0.49,0.45,0.06,0,1,0,2,1
5,91,14,0.48,0.48,0.04,0.48,0.45,0.06,0.44,0.49,0.07,0.46,0.45,0.06,0.44,0.49,0.07,1,1,0,2,2
6,118,10,0.42,0.51,0.06,0.48,0.48,0.04,0.48,0.45,0.06,0.44,0.49,0.07,0.46,0.45,0.06,1,1,0,2,1
7,137,16,0.49,0.44,0.07,0.42,0.51,0.06,0.48,0.48,0.04,0.48,0.45,0.06,0.48,0.45,0.06,0,1,0,2,1
8,152,14,0.43,0.47,0.1,0.49,0.44,0.07,0.42,0.51,0.06,0.48,0.48,0.04,0.48,0.48,0.04,1,1,0,2,2
9,175,16,0.45,0.48,0.08,0.43,0.47,0.1,0.49,0.44,0.07,0.42,0.51,0.06,0.49,0.44,0.07,1,1,0,2,1
10,180,14,0.45,0.43,0.11,0.45,0.48,0.08,0.43,0.47,0.1,0.49,0.44,0.07,0.43,0.47,0.1,1,1,0,2,2
11,182,5,0.41,0.48,0.06,0.45,0.43,0.11,0.45,0.48,0.08,0.43,0.47,0.1,NA,NA,NA,0,0,0,2,2
12,194,16,0.46,0.48,0.01,0.41,0.48,0.06,0.45,0.43,0.11,0.45,0.48,0.08,0.45,0.48,0.08,1,1,0,2,1
13,196,10,0.42,0.51,0.07,0.46,0.48,0.01,0.41,0.48,0.06,0.45,0.43,0.11,0.42,0.51,0.06,1,1,0,2,1
14,203,16,0.46,0.49,0.06,0.42,0.51,0.07,0.46,0.48,0.01,0.41,0.48,0.06,0.46,0.48,0.01,1,1,0,2,1
15,217,10,0.45,0.48,0.07,0.46,0.49,0.06,0.42,0.51,0.07,0.46,0.48,0.01,0.42,0.51,0.07,1,1,0,2,1
